
Block_Size 2048, Symbol_Size 1, Rate = 0.500000, M = 4, Bits 20480

10*log10(Eb/N0) = 4.000000 dB,  Eb = 4.000000,  N0 = 1.592429
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	9.500744e-01	1.040186e+00
1	2	1.308085e+00	1.412605e+00
1	3	2.065817e+00	2.387051e+00
1	4	inf	inf
1	5	inf	inf
1	6	inf	1.575731e+00
1	7	2.025773e+00	1.782413e+00

10*log10(Eb/N0) = 4.500000 dB,  Eb = 4.000000,  N0 = 1.419254
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	1.055816e+00	1.324782e+00
1	2	2.389643e+00	3.834209e+00
1	3	inf	inf
1	4	inf	inf
1	5	inf	2.060910e+00
1	6	3.533179e+00	inf
1	7	inf	1.734989e+00

10*log10(Eb/N0) = 5.000000 dB,  Eb = 4.000000,  N0 = 1.264911
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	1.155387e+00	1.626485e+00
1	2	4.135239e+00	inf
1	3	inf	inf
1	4	inf	1.052095e+00
1	5	1.698017e+00	2.536813e+00
1	6	inf	inf
1	7	inf	inf

10*log10(Eb/N0) = 5.500000 dB,  Eb = 4.000000,  N0 = 1.127353
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	1.378856e+00	2.410963e+00
1	2	inf	inf
1	3	inf	inf
1	4	inf	8.117116e-01
1	5	1.660537e+00	2.827030e+00
1	6	inf	inf
1	7	inf	1.640620e+00

10*log10(Eb/N0) = 6.000000 dB,  Eb = 4.000000,  N0 = 1.004755
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	1.582976e+00	3.570967e+00
1	2	inf	inf
1	3	inf	inf
1	4	inf	inf
1	5	inf	1.312417e+00
1	6	2.677861e+00	inf
1	7	inf	1.844462e+00

10*log10(Eb/N0) = 6.500000 dB,  Eb = 4.000000,  N0 = 0.895488
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	1.976876e+00	inf
1	2	inf	inf
1	3	inf	9.011434e-01
1	4	2.720265e+00	inf
1	5	inf	inf
1	6	inf	7.788941e-01
1	7	2.379364e+00	inf

10*log10(Eb/N0) = 7.000000 dB,  Eb = 4.000000,  N0 = 0.798105
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	2.179391e+00	inf
1	2	inf	inf
1	3	inf	7.305760e-01
1	4	2.501770e+00	inf
1	5	inf	inf
1	6	inf	1.378856e+00
1	7	3.357087e+00	inf

10*log10(Eb/N0) = 7.500000 dB,  Eb = 4.000000,  N0 = 0.711312
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	2.540478e+00	inf
1	2	inf	inf
1	3	inf	inf
1	4	inf	inf
1	5	inf	8.694778e-01
1	6	3.068292e+00	inf
1	7	inf	inf

10*log10(Eb/N0) = 8.000000 dB,  Eb = 4.000000,  N0 = 0.633957
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	3.357087e+00	inf
1	2	inf	inf
1	3	inf	9.778827e-01
1	4	inf	inf
1	5	inf	inf
1	6	inf	7.504673e-01
1	7	4.612360e+00	1.900553e+00
