
Block_Size 2048, Symbol_Size 1, Rate = 0.500000, M = 4, Bits 20480

10*log10(Eb/N0) = 4.000000 dB,  Eb = 4.000000,  N0 = 1.592429
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	9.513997e-01	1.055937e+00
1	2	1.132497e+00	1.227469e+00
1	3	1.320104e+00	1.406885e+00
1	4	1.528141e+00	1.651889e+00
1	5	1.859544e+00	2.112673e+00
1	6	2.416460e+00	2.725869e+00
1	7	3.333606e+00	4.135239e+00

10*log10(Eb/N0) = 4.500000 dB,  Eb = 4.000000,  N0 = 1.419254
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	1.057629e+00	1.308085e+00
1	2	1.694854e+00	2.277906e+00
1	3	3.498417e+00	inf
1	4	inf	inf
1	5	inf	inf
1	6	inf	inf
1	7	inf	inf

10*log10(Eb/N0) = 5.000000 dB,  Eb = 4.000000,  N0 = 1.264911
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	1.148169e+00	1.619806e+00
1	2	2.595327e+00	4.311330e+00
1	3	inf	inf
1	4	inf	inf
1	5	inf	inf
1	6	inf	inf
1	7	inf	inf

10*log10(Eb/N0) = 5.500000 dB,  Eb = 4.000000,  N0 = 1.127353
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	1.431374e+00	2.508556e+00
1	2	inf	inf
1	3	inf	inf
1	4	inf	inf
1	5	inf	inf
1	6	inf	inf
1	7	inf	inf

10*log10(Eb/N0) = 6.000000 dB,  Eb = 4.000000,  N0 = 1.004755
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	1.674341e+00	3.466232e+00
1	2	inf	inf
1	3	inf	inf
1	4	inf	inf
1	5	inf	inf
1	6	inf	inf
1	7	inf	inf

10*log10(Eb/N0) = 6.500000 dB,  Eb = 4.000000,  N0 = 0.895488
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	1.759880e+00	3.658117e+00
1	2	inf	inf
1	3	inf	inf
1	4	inf	inf
1	5	inf	inf
1	6	inf	inf
1	7	inf	inf

10*log10(Eb/N0) = 7.000000 dB,  Eb = 4.000000,  N0 = 0.798105
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	2.269937e+00	inf
1	2	inf	inf
1	3	inf	inf
1	4	inf	inf
1	5	inf	inf
1	6	inf	inf
1	7	inf	inf

10*log10(Eb/N0) = 7.500000 dB,  Eb = 4.000000,  N0 = 0.711312
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	2.940262e+00	inf
1	2	inf	inf
1	3	inf	inf
1	4	inf	inf
1	5	inf	inf
1	6	inf	inf
1	7	inf	inf

10*log10(Eb/N0) = 8.000000 dB,  Eb = 4.000000,  N0 = 0.633957
Prob. of Error for each FB and TC Iteration: -log10 values

FB_Iter  TC_Iter   Dec_1           Dec_2
1	1	3.165202e+00	inf
1	2	inf	inf
1	3	inf	inf
1	4	inf	inf
1	5	inf	inf
1	6	inf	inf
1	7	inf	inf
